Species,Species_Lintulaakso_et_al,diet_cluster_name,diet_cluster_description,reference_ids,cp,ee,cf,ash,nfe,calculated_cluster_main_diet,calculated_species_main_diet,main_diet_comment
Alouatta palliata,Alouatta palliata,Browser-Frugivore,Browser (0.51) - Frugivore (0.32),"125,145",9.55019,3.82868,20.19812,6.65767,59.76535,Frugivore,Frugivore,
Camelus dromedarius,Camelus dromedarius,Browser-Grazer,Browser (0.60) - Grazer (0.22),"125,145",11.69327,3.23701,22.53052,10.03013,52.5091,Herbivore,Herbivore,
Capreolus capreolus,Capreolus capreolus,Browser-Grazer,Browser (0.64) - Grazer (0.25),145,11.87004,3.18471,22.59587,9.88679,52.4626,Herbivore,Herbivore,
Cephalophus silvicultor,Cephalophus silvicultor,Browser-Frugivore,Browser (0.38) - Frugivore (0.31),"125,145",11.49249,4.17325,16.7114,7.73566,59.88717,Frugivore,Frugivore,
Ceratotherium simum,Ceratotherium simum,Grazer,Grazer (0.64),"110,125,145",10.12274,2.3037,32.4131,7.64103,47.5194,Herbivore,Herbivore,
Cuniculus paca,Cuniculus paca,Frugivore-Browser,Frugivore (0.51) - Browser (0.28),"125,145",10.60653,3.31641,15.61663,10.2546,60.2058,Frugivore,Frugivore,
Diceros bicornis,Diceros bicornis,Browser,Browser (0.69),"110,125,145",11.13674,2.49938,27.36192,8.20743,50.79453,Herbivore,Herbivore,
Dugong dugon,Dugong dugon,Browser-Grazer,Browser (0.60) - Grazer (0.22),"110,127,145",15.66575,2.67402,16.13874,10.42347,55.09804,Herbivore,Frugivore,Herbivore or Frugivore
Equus burchellii,Equus burchellii,Grazer,Grazer (0.64),"110,125,145",10.49486,2.50168,29.30311,8.30043,49.3999,Herbivore,Herbivore,
Equus caballus,Equus caballus,Grazer,Grazer (0.64),"110,125,145",10.65744,2.38335,29.64453,8.93891,48.37576,Herbivore,Herbivore,
Giraffa camelopardalis,Giraffa camelopardalis,Browser,Browser (0.82),"110,125,145",11.3339,3.13823,25.58103,5.57323,54.37362,Frugivore,Herbivore,Frugivore or Herbivore
Gorilla beringei,Gorilla beringei,Browser,Browser (0.94),145,12.60358,2.84532,19.11319,12.78136,52.65655,Herbivore,Herbivore,
Gorilla gorilla,Gorilla gorilla,Browser,Browser (0.69),"110,125,145",11.24816,3.60796,20.90749,9.57886,54.65752,Herbivore,Herbivore,
Hippopotamus amphibius,Hippopotamus amphibius,Grazer,Grazer (0.64),"110,125,145",19.16876,3.96691,28.72915,7.32875,40.80641,Herbivore,Herbivore,
Loxodonta africana,Loxodonta africana,Grazer,Grazer (0.64),"110,125",8.9086,2.43334,33.74356,7.61827,47.29621,Herbivore,Herbivore,
Macropus giganteus,Macropus giganteus,Grazer,Grazer (0.64),"125,145",11.16861,2.36059,29.12389,9.55251,47.79439,Herbivore,Herbivore,
Marmota marmota,Marmota marmota,Browser-Florivore,Browser (0.51) - Florivore (0.17),145,12.29211,4.28354,20.27693,8.5824,54.56506,Herbivore,Herbivore,
Meles meles,Meles meles,Vermivore-Carnivore,Vermivore (0.38) - Carnivore (0.32),"110,145",58.70442,13.25879,2.44115,11.42515,14.17059,Animalivore,Animalivore,
Muntiacus muntjak,Muntiacus muntjak,Browser-Frugivore,Browser (0.46) - Frugivore (0.23),"110,127,145",13.31479,5.6142,14.59954,8.08755,58.38392,Frugivore,Frugivore,
Okapia johnstoni,Okapia johnstoni,Browser-Grazer,Browser (0.60) - Grazer (0.22),"110,125,145",11.75961,3.80114,19.86591,8.66007,55.91328,Herbivore,Frugivore,Herbivore or Frugivore
Orcinus orca,Orcinus orca,Carnivore,Carnivore (0.81),"110,114,145",58.10424,20.27461,1.75896,10.25319,9.6087,Animalivore,Animalivore,
Otaria byronia,Otaria flavescens,Piscivore-Squid-Eater,Piscivore (0.54) - Squid-Eater (0.32),"110,145",70.54726,11.34738,1.50317,12.60631,3.99583,Animalivore,Animalivore,
Ovis ammon,Ovis ammon,Grazer,Grazer (0.64),"127,145",13.75303,3.0944,26.95259,9.08458,47.1154,Herbivore,Herbivore,
Ovis aries,Ovis aries,Grazer-Browser,Grazer (0.45) - Browser (0.32),110,12.19316,2.3744,27.85431,9.73788,47.84024,Herbivore,Herbivore,
Pan troglodytes,Pan troglodytes,Frugivore-Browser,Frugivore (0.37) - Browser (0.33),"110,125,145",13.44603,4.75134,15.19348,7.21752,59.39161,Frugivore,Frugivore,
Papio anubis,Papio anubis,Granivore-Frugivore,Granivore (0.38) - Frugivore (0.28),125,17.17402,6.55748,16.95524,5.39171,53.92152,Omnivore,Undefined,Omnivore or Undefined
Piliocolobus foai,Piliocolobus foai,Browser-Frugivore,Browser (0.51) - Frugivore (0.32),110,10.99542,4.47897,18.52198,6.14336,59.86028,Frugivore,Frugivore,
Pongo pygmaeus,Pongo pygmaeus,Frugivore-Browser,Frugivore (0.51) - Browser (0.28),"110,145",14.0531,4.24633,12.40414,10.1851,59.11132,Frugivore,Frugivore,
Rangifer tarandus,Rangifer tarandus,Browser,Browser (0.69),"110,114,125,127,145",17.62067,5.00329,21.25169,9.54867,46.57568,Herbivore,Herbivore,
Rupicapra rupicapra,Rupicapra rupicapra,Browser-Grazer,Browser (0.64) - Grazer (0.25),145,14.41832,3.12154,23.39875,11.61744,47.44395,Herbivore,Herbivore,
Sus scrofa,Sus scrofa,Browser-Rootivore,Browser (0.57) - Rootivore (0.27),"125,127,145",12.92185,4.06591,18.41128,9.56317,55.03775,Herbivore,Frugivore,Herbivore or Frugivore
Sus scrofa domesticus,Sus scrofa,Browser-Rootivore,Browser (0.57) - Rootivore (0.27),"125,127,145",12.92185,4.06591,18.41128,9.56317,55.03775,Herbivore,Frugivore,Herbivore or Frugivore
Syncerus caffer,Syncerus caffer,Grazer,Grazer (0.64),"110,125,145",10.14996,2.59276,30.57153,7.42786,49.25788,Herbivore,Herbivore,
Tapirus indicus,Tapirus indicus,Browser-Grazer,Browser (0.60) - Grazer (0.22),145,10.12341,3.73429,21.99719,7.64161,56.50351,Herbivore,Frugivore,Herbivore or Frugivore
Ursus arctos,Ursus arctos,Carnivore-Herbivore,Carnivore (0.28) - Frugivore (0.18) - Browser (0.16) - Granivore (0.08),"110,114,125,127,145,160",37.79841,10.648,12.02849,8.60331,30.92175,Omnivore,Omnivore,
