,x
Alouatta palliata,#FAB262
Camelus dromedarius,#4B6830
Capreolus capreolus,#538325
Cephalophus silvicultor,#61A91D
Ceratotherium simum,#5439CD
Cuniculus paca,#AC9724
Diceros bicornis,#2E264E
Dugong dugon,#07406B
Environmental control,black
Equus burchellii,#336DC8
Equus caballus,#1F437D
Extraction blank,black
Giraffa camelopardalis,#73DE0C
Gorilla beringei,#714130
Gorilla beringei graueri,#714130
Gorilla gorilla,#3C1508
Hippopotamus amphibius,#19CF7C
Library blank,black
Loxodonta africana,#6D7380
Macropus giganteus,#A76001
Marmota marmota,#E0BF0E
Meles meles,#60026D
Muntiacus muntjak,#1D6544
Okapia johnstoni,#25503C
Otaria byronia,#7808D3
Ovibos moschatus,#1D3C00
Ovis ammon,#408400
Ovis aries,#52A700
Pan troglodytes,#97734B
Papio anubis,#8E4125
Piliocolobus foai,#B81F2A
Pongo pygmaeus,#F57E18
Rangifer tarandus,#048610
Rupicapra rupicapra,#00AE5F
Sus scrofa,#004827
Sus scrofa domesticus,#004827
Syncerus caffer,#0B6329
Tapirus indicus,#24334B
Ursus arctos,#880AA6
